"question","answer1","answer2","answer3","answer4","correct","points","category"
"Question 1 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 2 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 3 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 4 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 5 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 6 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 7 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 8 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 9 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 10 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 11 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 12 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 13 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 14 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 15 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 16 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 17 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 18 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 19 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 20 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 21 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 22 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 23 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 24 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 25 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 26 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 27 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 28 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 29 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 30 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 31 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 32 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 33 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 34 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 35 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 36 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 37 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 38 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 39 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 40 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 41 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 42 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 43 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 44 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 45 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 46 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 47 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 48 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 49 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 50 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 51 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 52 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 53 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 54 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 55 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 56 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 57 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 58 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 59 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 60 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 61 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 62 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 63 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 64 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 65 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 66 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 67 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 68 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 69 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 70 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 71 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 72 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 73 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 74 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 75 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 76 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 77 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 78 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 79 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 80 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 81 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 82 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 83 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 84 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 85 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 86 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 87 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 88 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 89 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 90 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 91 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 92 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 93 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 94 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 95 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 96 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 97 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 98 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 99 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 100 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 101 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 102 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 103 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 104 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 105 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 106 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 107 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 108 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 109 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 110 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 111 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 112 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 113 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 114 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 115 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 116 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 117 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 118 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 119 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 120 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 121 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 122 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 123 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 124 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 125 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 126 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 127 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 128 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 129 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 130 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 131 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 132 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 133 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 134 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 135 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 136 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 137 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 138 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 139 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 140 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 141 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 142 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 143 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 144 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 145 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 146 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 147 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 148 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 149 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 150 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 151 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 152 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 153 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 154 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 155 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 156 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 157 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 158 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 159 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 160 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 161 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 162 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 163 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 164 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 165 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 166 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 167 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 168 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 169 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 170 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 171 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 172 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 173 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 174 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 175 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 176 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 177 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 178 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 179 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 180 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 181 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 182 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 183 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 184 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 185 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 186 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 187 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 188 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 189 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 190 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 191 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 192 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 193 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 194 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 195 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 196 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 197 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 198 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 199 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 200 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 201 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 202 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 203 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 204 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 205 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 206 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 207 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 208 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 209 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 210 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 211 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 212 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 213 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 214 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 215 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 216 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 217 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 218 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 219 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 220 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 221 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 222 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 223 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 224 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 225 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 226 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 227 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 228 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 229 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 230 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 231 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 232 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 233 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 234 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 235 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 236 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 237 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 238 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 239 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 240 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 241 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 242 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 243 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 244 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 245 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 246 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 247 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 248 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 249 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 250 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
