"question","answer1","answer2","answer3","answer4","correct","points","category"
"Question 251 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 252 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 253 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 254 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 255 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 256 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 257 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 258 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 259 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 260 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 261 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 262 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 263 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 264 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 265 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 266 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 267 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 268 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 269 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 270 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 271 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 272 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 273 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 274 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 275 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 276 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 277 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 278 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 279 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 280 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 281 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 282 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 283 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 284 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 285 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 286 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 287 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 288 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 289 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 290 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 291 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 292 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 293 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 294 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 295 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 296 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 297 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 298 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 299 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 300 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 301 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 302 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 303 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 304 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 305 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 306 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 307 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 308 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 309 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 310 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 311 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 312 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 313 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 314 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 315 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 316 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 317 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 318 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 319 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 320 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 321 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 322 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 323 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 324 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 325 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 326 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 327 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 328 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 329 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 330 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 331 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 332 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 333 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 334 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 335 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 336 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 337 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 338 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 339 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 340 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 341 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 342 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 343 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 344 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 345 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 346 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 347 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 348 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 349 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 350 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 351 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 352 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 353 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 354 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 355 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 356 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 357 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 358 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 359 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 360 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 361 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 362 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 363 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 364 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 365 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 366 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 367 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 368 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 369 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 370 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 371 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 372 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 373 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 374 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 375 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 376 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 377 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 378 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 379 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 380 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 381 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 382 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 383 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 384 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 385 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 386 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 387 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 388 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 389 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 390 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 391 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 392 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 393 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 394 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 395 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 396 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 397 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 398 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 399 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 400 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 401 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 402 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 403 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 404 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 405 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 406 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 407 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 408 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 409 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 410 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 411 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 412 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 413 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 414 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 415 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 416 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 417 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 418 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 419 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 420 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 421 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 422 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 423 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 424 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 425 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 426 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 427 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 428 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 429 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 430 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 431 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 432 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 433 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 434 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 435 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 436 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 437 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 438 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 439 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 440 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 441 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 442 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 443 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 444 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 445 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 446 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 447 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 448 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 449 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 450 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 451 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 452 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 453 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 454 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 455 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 456 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 457 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 458 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 459 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 460 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 461 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 462 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 463 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 464 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 465 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 466 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 467 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 468 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 469 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 470 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 471 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 472 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 473 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 474 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 475 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 476 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 477 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 478 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 479 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 480 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 481 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 482 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 483 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 484 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 485 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 486 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 487 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 488 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 489 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 490 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 491 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 492 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
"Question 493 en Languages : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","Languages"
"Question 494 en Finance : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","Finance"
"Question 495 en HR : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","HR"
"Question 496 en PersonalDevelopment : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","PersonalDevelopment"
"Question 497 en IT : quel est le concept clé ?","Option A","Option B","Option C","Option D","2","10","IT"
"Question 498 en ProjectManagement : quel est le concept clé ?","Option A","Option B","Option C","Option D","3","10","ProjectManagement"
"Question 499 en Marketing : quel est le concept clé ?","Option A","Option B","Option C","Option D","4","10","Marketing"
"Question 500 en Design : quel est le concept clé ?","Option A","Option B","Option C","Option D","1","10","Design"
